"","country","shape"
"16421","gb","other"
"16432","us","disk"
"16439","gb","cross"
"16448","us","disk"
"16467","us","disk"
"16470","us","disk"
"16472","us","disk"
"16474","gb","triangle"
"16489","gb","cigar"
"16491","us","disk"
"16509","us","disk"
"16513","au","disk"
"16515","us","disk"
"16546","us","disk"
"16550","us","disk"
"16573","us","disk"
"16580","gb","light"
"16581","gb","light"
"16585","us","disk"
"16594",NA,"disk"
"16652","us","disk"
"16655","us","disk"
"16665","us","disk"
"16673",NA,"disk"
"16676","gb","egg"
"16684","gb","circle"
"16686","gb","sphere"
"16690","gb","fireball"
"16697","us","disk"
"16713","gb","circle"
"16714","us","disk"
"16718","us","disk"
"16734",NA,"disk"
"16737","us","disk"
"16757","us","disk"
"16765","us","disk"
"16790","gb","circle"
"16813","gb","oval"
"16818","us","disk"
"16845","us","disk"
"16849","us","disk"
"16871","us","disk"
"16889","gb","light"
"16896","us","disk"
"16897","us","disk"
"16901","us","disk"
"16903","us","disk"
"16907",NA,"disk"
"16920","us","disk"
"16935","us","disk"
"16945","us","disk"
"16998","us","disk"
"17012","ca","disk"
"17014","us","disk"
"17019","us","disk"
"17022","gb","light"
"17026","us","disk"
"17032","us","disk"
"17035","us","disk"
"17036","us","disk"
"17041","us","disk"
"17074","us","disk"
"17095","gb","disk"
"17106","us","disk"
"17108","us","disk"
"17142","us","disk"
"17176","us","disk"
"17183","gb","triangle"
"17207","us","disk"
"17224","us","disk"
"17252",NA,"disk"
"17254","ca","disk"
"17256",NA,"disk"
"17259","gb","other"
"17288","us","disk"
"17296","us","disk"
"17319","gb","cigar"
"17354","gb","fireball"
"17356",NA,"disk"
"17370","gb","teardrop"
"17376","us","disk"
"17391","us","disk"
"17392",NA,"disk"
"17402","us","disk"
"17425","us","disk"
"17437",NA,"disk"
"17442",NA,"disk"
"17457","us","disk"
"17459","us","disk"
"17468","us","disk"
"17471","us","disk"
"17486",NA,"disk"
"17487","us","disk"
"17489",NA,"disk"
"17497","gb","light"
"17504","us","disk"
"17515","gb","formation"
"17519",NA,"disk"
"17546","us","disk"
"17562","us","disk"
"17780","us","disk"
"17814","us","disk"
"17819","us","disk"
"17845",NA,"disk"
"17857","us","disk"
"17858","us","disk"
"17889","us","disk"
"17908","us","disk"
"17928","us","disk"
"17941","us","disk"
"17948","gb","light"
"17956","us","disk"
"17967","us","disk"
"17974","us","disk"
"17993","us","disk"
"18016","us","disk"
"18069","us","disk"
"18086","gb","unknown"
"18096","us","disk"
"18135","us","disk"
"18140","us","disk"
"18142","us","disk"
"18146","us","disk"
"18160","us","disk"
"18161",NA,"disk"
"18175",NA,"disk"
"18177","gb","formation"
"18178","us","disk"
"18186","gb","formation"
"18189","gb","light"
"18193","gb","circle"
"18220","us","disk"
"18222","us","disk"
"18231","us","disk"
"18244","us","disk"
"18255","gb","light"
"18259","gb","triangle"
"18295","us","disk"
"18304","us","disk"
"18316","gb","light"
"18324","us","disk"
"18329","us","disk"
"18346","us","disk"
"18383","us","disk"
"18392","gb",NA
"18414","us","disk"
"18441","gb","formation"
"18443","us","disk"
"18444",NA,"disk"
"18476","us","disk"
"18503","ca","disk"
"18504","us","disk"
"18505",NA,"disk"
"18506","us","disk"
"18527","us","disk"
"18547","gb","circle"
"18550",NA,"disk"
"18552","gb","other"
"18576","us","disk"
"18586","us","disk"
"18599","gb","circle"
"18601","us","disk"
"18608","gb","circle"
"18620","us","disk"
"18634","us","disk"
"18638","gb","oval"
"18641","us","disk"
"18659","us","disk"
"18663","us","disk"
"18672","gb","sphere"
"18728","us","disk"
"18731","us","disk"
"18733","us","disk"
"18741","us","disk"
"18761",NA,"disk"
"18768",NA,"disk"
"18782","us","disk"
"18803","us","disk"
"18804",NA,"disk"
"18820","us","disk"
"18859","gb","fireball"
"18869",NA,"disk"
"18871","gb","disk"
"18885","us","disk"
"18888","us","disk"
"18892","us","disk"
"18893","us","disk"
"18894","us","disk"
"18895","us","disk"
"18897","us","disk"
"18915","us","disk"
"18929","gb","disk"
"18951","gb","other"
"18952","gb","sphere"
"18957","us","disk"
"18965",NA,"disk"
"18968","gb",NA
"18976","gb","light"
"18981","gb","light"
"18984","gb","light"
"19021","us","disk"
"19026","gb","egg"
"19028","gb","light"
"19029","gb","light"
"19030","gb","flash"
"19033","us","disk"
"19037","us","disk"
"19079",NA,"disk"
"19091","gb","other"
"19112","gb","cigar"
"19115","us","disk"
"19123","us","disk"
"19131","us","disk"
"19143",NA,"disk"
"19168","gb","circle"
"19198","us","disk"
"19222","us","disk"
"19243","us","disk"
"19270","gb","fireball"
"19287","us","disk"
"19289","us","disk"
"19299","us","disk"
"19301","us","disk"
"19323","us","disk"
"19330","us","disk"
"19335","us","disk"
"19374","us","disk"
"19384","us","disk"
"19385","gb","oval"
"19403",NA,"disk"
"19406","us","disk"
"19411","gb","other"
"19421","gb","diamond"
"19428","gb","diamond"
"19439","us","disk"
"19441","us","disk"
"19501","us","disk"
"19524","us","disk"
"19525","gb","sphere"
"19541","us","disk"
"19580","us","disk"
"19581","us","disk"
"19594","us","disk"
"19599","ca","disk"
"19610","gb","cigar"
"19620","us","disk"
"19628","gb","unknown"
"19632","gb","disk"
"19634","gb","teardrop"
"19663","us","disk"
"19672","us","disk"
"19673","gb","oval"
"19677","gb","circle"
"19709","gb","sphere"
"19739","us","disk"
"19742","gb","sphere"
"19803","us","disk"
"19813","gb","cigar"
"19833",NA,"disk"
"19834","gb","light"
"19836","gb","other"
"19856","us","disk"
"19861","us","disk"
"19865","us","disk"
"19876","us","disk"
"19906","us","disk"
"19922","us","disk"
"19928","us","disk"
"19939","gb","diamond"
"19942","us","disk"
"19947","us","disk"
"19993","us","disk"
"19995","us","disk"
"20012",NA,"disk"
"20030","us","disk"
"20033","us","disk"
"20051","us","disk"
"20054","us","disk"
"20078","gb","light"
"20079","us","disk"
"20110","us","disk"
"20123",NA,"disk"
"20134","us","disk"
"20146",NA,"disk"
"20150","gb","light"
"20153","gb","fireball"
"20160","us","disk"
"20162",NA,"disk"
"20166","us","disk"
"20198","gb","unknown"
"20205","ca","disk"
"20209",NA,"disk"
"20211",NA,"disk"
"20216","us","disk"
"20222","us","disk"
"20229","us","disk"
"20236","us","disk"
"20237","us","disk"
"20240","us","disk"
"20255","us","disk"
"20256","us","disk"
"20260","us","disk"
"20263","us","disk"
"20283","us","disk"
"20297","us","disk"
"20298","us","disk"
"20302",NA,"disk"
"20303","us","disk"
"20304","us","disk"
"20330","us","disk"
"20348","gb","unknown"
"20349","gb","light"
"20364",NA,"disk"
"20367","gb","oval"
"20405","us","disk"
"20409","gb","other"
"20424","gb","circle"
"20442","gb","circle"
"20465","gb","light"
"20474","gb","formation"
"20501","gb","triangle"
"20502",NA,"disk"
"20520","us","disk"
"20533","us","disk"
"20534",NA,"disk"
"20548","us","disk"
"20573","us","disk"
"20599","ca","disk"
"20601","us","disk"
"20605","ca","disk"
"20609",NA,"disk"
"20614",NA,"disk"
"20628","us","disk"
"20631","us","disk"
"20633","us","disk"
"20677","us","disk"
"20731","gb","formation"
"20741","gb","diamond"
"20763",NA,"disk"
"20769",NA,"disk"
"20791","us","disk"
"20837","us","disk"
"20840","us","disk"
"20847","us","disk"
"20848",NA,"disk"
"20862","us","disk"
"20868","gb","light"
"20884","ca","disk"
"20889","us","disk"
"20895","us","disk"
"20912","us","disk"
"20927","gb","light"
"20944","us","disk"
"20946","us","disk"
"20952","us","disk"
"20977",NA,"disk"
"20984","us","disk"
"21009","us","disk"
"21021","us","disk"
"21037","gb","diamond"
"21038","gb","teardrop"
"21055",NA,"disk"
"21058","gb","light"
"21068","gb","circle"
"21078",NA,"disk"
"21098","us","disk"
"21178","us","disk"
"21208","us","disk"
"21233","us","disk"
"21235","us","disk"
"21250","gb","cigar"
"21260","ca","disk"
"21272",NA,"disk"
"21282","us","disk"
"21283","gb","triangle"
"21289","gb","changing"
"21293","us","disk"
"21327","gb","flash"
"21343","us","disk"
"21352",NA,"disk"
"21353","us","disk"
"21354","us","disk"
"21358",NA,"disk"
"21366","us","disk"
"21377","us","disk"
"21382",NA,"disk"
"21397","gb","other"
"21404","us","disk"
"21407","us","disk"
"21410","us","disk"
"21415","gb","diamond"
"21420","us","disk"
"21426","us","disk"
"21441","gb","disk"
"21442","gb","diamond"
"21443","us","disk"
"21462","gb",NA
"21465","us","disk"
"21475","us","disk"
"21521","us","disk"
"21542","us","disk"
"21544","us","disk"
"21549","us","disk"
"21587",NA,"disk"
"21589","us","disk"
"21633",NA,"disk"
"21673","us","disk"
"21700","us","disk"
"21702","us","disk"
"21721","gb","oval"
"21722","gb","teardrop"
"21730",NA,"disk"
"21732","us","disk"
"21737",NA,"disk"
"21756","gb","teardrop"
"21760","us","disk"
"21774","us","disk"
"21784","gb","unknown"
"21815","gb","light"
"21836","us","disk"
"21840","gb","disk"
"21844","us","disk"
"21854","us","disk"
"21857",NA,"disk"
"21860","us","disk"
"21876","us","disk"
"21886","us","disk"
"21908","us","disk"
"21910","us","disk"
"21943","us","disk"
"21944",NA,"disk"
"21946",NA,"disk"
"21968","us","disk"
"22006",NA,"disk"
"22018",NA,"disk"
"22025","us","disk"
"22045","us","disk"
"22047","gb","light"
"22052","gb","sphere"
"22062","gb","flash"
"22064","gb","cigar"
"22094","gb","light"
"22099","gb","triangle"
"22107","us","disk"
"22172",NA,"disk"
"22175","us","disk"
"22176","au","disk"
"22180","us","disk"
"22205","au","disk"
"22212","us","disk"
"22244","us","disk"
"22248","gb","light"
"22249","gb","triangle"
"22266","us","disk"
"22271","us","disk"
"22273","us","disk"
"22276","us","disk"
"22284","gb","fireball"
"22287","gb","circle"
"22299","gb","triangle"
"22300","us","disk"
"22320","gb","other"
"22336","us","disk"
"22375","us","disk"
"22376",NA,"disk"
"22380","us","disk"
"22392","us","disk"
"22405","gb","circle"
"22428","us","disk"
"22433","us","disk"
"22436","gb","circle"
"22453","us","disk"
"22468","us","disk"
"22474","us","disk"
"22487",NA,"disk"
"22508","gb","circle"
"22514","gb","other"
"22515","gb","fireball"
"22518","gb","light"
"22519","gb","triangle"
"22611","us","disk"
"22612","gb","flash"
"22616","us","disk"
"22670",NA,"disk"
"22675","us","disk"
"22684","gb","light"
"22687","us","disk"
"22690","gb","light"
"22718",NA,"disk"
"22721","gb","unknown"
"22723","gb","diamond"
"22759","gb","unknown"
"22770",NA,"disk"
"22779",NA,"disk"
"22790","gb","cigar"
"22794","us","disk"
"22795","gb","light"
"22797","gb","other"
"22799","gb","oval"
"22801","gb","light"
"22809","gb","triangle"
"22810","gb","sphere"
"22817","gb","light"
"22820","gb","sphere"
"22821","gb","circle"
"22851","us","disk"
"22863","us","disk"
"22873","gb","light"
"22878","gb","circle"
"22886","gb",NA
"22893","us","disk"
"22914",NA,"disk"
"22985","gb","light"
"22986","gb","other"
"22994","us","disk"
"23007",NA,"disk"
"23025","gb","light"
"23037","gb","sphere"
"23040","gb","fireball"
"23048","us","disk"
"23050","gb","egg"
"23052","gb","fireball"
"23053",NA,"disk"
"23080","us","disk"
"23138","gb","disk"
"23150","us","disk"
"23184","gb","sphere"
"23189","us","disk"
"23193","gb","light"
"23196","gb","circle"
"23209","us","disk"
"23216","us","disk"
"23277","us","disk"
"23281","us","disk"
"23296","us","disk"
"23298",NA,"disk"
"23305","us","disk"
"23312","us","disk"
"23314","us","disk"
"23317","us","disk"
"23320",NA,"disk"
"23323","gb","formation"
"23329",NA,"disk"
"23350","gb","circle"
"23364",NA,"disk"
"23371","gb","sphere"
"23383","gb","oval"
"23388","gb","oval"
"23394","gb","light"
"23397","us","disk"
"23457","gb","triangle"
"23477",NA,"disk"
"23478","gb","sphere"
"23484",NA,"disk"
"23499","us","disk"
"23500","us","disk"
"23503","us","disk"
"23506","ca","disk"
"23531","gb","circle"
"23548","us","disk"
"23549","gb","egg"
"23561","gb","light"
"23565","gb","fireball"
"23574","us","disk"
"23587","gb","light"
"23594","us","disk"
"23596","gb","fireball"
"23618","us","disk"
"23666","us","disk"
"23690",NA,"disk"
"23694","gb","unknown"
"23696","us","disk"
"23711","us","disk"
"23724","au","disk"
"23743","us","disk"
"23744","us","disk"
"23746","us","disk"
"23748","us","disk"
"23749","us","disk"
"23750","gb","light"
"23816","us","disk"
"23818","us","disk"
"23821","us","disk"
"23836","us","disk"
"23847","us","disk"
"23869",NA,"disk"
"23874","us","disk"
"23883","us","disk"
"23887","gb","teardrop"
"23891","ca","disk"
"23896","us","disk"
"23909","us","disk"
"23910",NA,"disk"
"23912","us","disk"
"23916","us","disk"
"23925","gb","cone"
"23928","us","disk"
"23961","gb","disk"
"23991","us","disk"
"23996","gb","light"
"24001","gb","circle"
"24003","us","disk"
"24005","gb","circle"
"24006","gb","unknown"
"24012","us","disk"
"24014","gb","light"
"24022","us","disk"
"24068","us","disk"
"24132","gb","light"
"24150","gb","light"
"24210","us","disk"
"24275","us","disk"
"24278","us","disk"
"24303","us","disk"
"24312","us","disk"
"24314","us","disk"
"24317","us","disk"
"24319","us","disk"
"24324","gb","cigar"
"24334","us","disk"
"24340","us","disk"
"24341","us","disk"
"24348","gb","other"
"24356","gb","fireball"
"24366",NA,"disk"
"24403","us","disk"
"24407",NA,"disk"
"24430","gb","oval"
"24438","us","disk"
"24465","us","disk"
"24473",NA,"disk"
"24477","us","disk"
"24483","us","disk"
"24491","gb","triangle"
"24528","us","disk"
"24534","gb","light"
"24539","gb","light"
"24541","us","disk"
"24579","gb","circle"
"24580","gb","circle"
"24622","us","disk"
"24645","us","disk"
"24646","us","disk"
"24647","gb","egg"
"24648","gb","teardrop"
"24653","us","disk"
"24671","gb","light"
"24676","gb","changing"
"24678","us","disk"
"24691","us","disk"
"24695","us","disk"
"24698","gb","light"
"24709","gb","disk"
"24719","gb","diamond"
"24721",NA,"disk"
"24727","us","disk"
"24730","gb","triangle"
"24731","us","disk"
"24742",NA,"disk"
"24746","gb","light"
"24758","us","disk"
"24769","us","disk"
"24775","us","disk"
"24793",NA,"disk"
"24799",NA,"disk"
"24821","gb","circle"
"24838","us","disk"
"24842","us","disk"
"24845","us","disk"
"24860","gb","fireball"
"24871","us","disk"
"24874","gb","circle"
"24877",NA,"disk"
"24891","gb","unknown"
"24907",NA,"disk"
"24913","us","disk"
"24963","us","disk"
"24980","us","disk"
"25005","us","disk"
"25022",NA,"disk"
"25023",NA,"disk"
"25040","us","disk"
"25067","gb","circle"
"25070","us","disk"
"25085","gb","light"
"25107","us","disk"
"25126","us","disk"
"25133",NA,"disk"
"25157","us","disk"
"25159","ca","disk"
"25171","us","disk"
"25172","us","disk"
"25218","us","disk"
"25222","us","disk"
"25225","gb","triangle"
"25229","us","disk"
"25232",NA,"disk"
"25237","gb","light"
"25252",NA,"disk"
"25269","us","disk"
"25319",NA,"disk"
"25332","us","disk"
"25339","us","disk"
"25386",NA,"disk"
"25398","gb","other"
"25411","us","disk"
"25421","us","disk"
"25430","gb","triangle"
"25439","gb","circle"
"25441","us","disk"
"25444","gb","diamond"
"25451","us","disk"
"25459","us","disk"
"25476","us","disk"
"25507","us","disk"
"25521","us","disk"
"25524",NA,"disk"
"25526","us","disk"
"25531","gb","cigar"
"25538","us","disk"
"25552","us","disk"
"25570","gb","disk"
"25579","us","disk"
"25587","us","disk"
"25591","us","disk"
"25637","us","disk"
"25671","us","disk"
"25702","us","disk"
"25706","ca","disk"
"25715","gb","oval"
"25716","us","disk"
"25732","ca","disk"
"25743","us","disk"
"25747","us","disk"
"25764","gb","other"
"25780","us","disk"
"25791",NA,"disk"
"25800","gb","light"
"25845","us","disk"
"25855","us","disk"
"25865","us","disk"
"25881","us","disk"
"25888","gb","changing"
"25889","gb","changing"
"25890","gb","fireball"
"25900","us","disk"
"25906",NA,"disk"
"25920",NA,"disk"
"25930","us","disk"
"25938","gb","light"
"25948","us","disk"
"25955","us","disk"
"25960","ca","disk"
"25979","us","disk"
"25980","us","disk"
"26020","us","disk"
"26040","us","disk"
"26043","us","disk"
"26046","gb","oval"
"26055","gb","cross"
"26064",NA,"disk"
"26099",NA,"disk"
"26104","us","disk"
"26108","us","disk"
"26116","us","disk"
"26121","gb","disk"
"26124","ca","disk"
"26125","gb","flash"
"26154",NA,"disk"
"26158","gb","disk"
"26161","gb","changing"
"26188","us","disk"
"26203","us","disk"
"26213","gb","light"
"26222","gb","light"
"26260","us","disk"
"26265","gb","light"
"26267","us","disk"
"26275","ca","disk"
"26282","ca","disk"
"26338","us","disk"
"26351","us","disk"
"26390","us","disk"
"26393",NA,"disk"
"26394","us","disk"
"26408","us","disk"
"26414","us","disk"
"26418","us","disk"
"26419","us","disk"
"26423",NA,"disk"
"26454","us","disk"
"26458","ca","disk"
"26470","us","disk"
"26472","us","disk"
"26484","ca","disk"
"26488","us","disk"
"26500","gb","other"
"26502","us","disk"
"26522","us","disk"
"26534","gb","light"
"26537","gb","cylinder"
"26548","us","disk"
"26550","us","disk"
"26579","gb","triangle"
"26594",NA,"disk"
"26600","gb","light"
"26613","us","disk"
"26672","gb","fireball"
"26681","us","disk"
"26686","us","disk"
"26696","us","disk"
"26698","us","disk"
"26712",NA,"disk"
"26750",NA,"disk"
"26757","us","disk"
"26762","gb","sphere"
"26773","gb","sphere"
"26779","us","disk"
"26782","us","disk"
"26806","us","disk"
"26818","us","disk"
"26828","us","disk"
"26840",NA,"disk"
"26850","us","disk"
"26851","us","disk"
"26862",NA,"disk"
"26915","gb","light"
"26916","us","disk"
"26921","us","disk"
"26959",NA,"disk"
"26972","us","disk"
"27024","gb","unknown"
"27026","gb","other"
"27030","gb","triangle"
"27035","us","disk"
"27047",NA,"disk"
"27048","gb","light"
"27054","ca","disk"
"27068","gb","oval"
"27069","gb","fireball"
"27071","gb","disk"
"27094","us","disk"
"27096","gb","sphere"
"27102","us","disk"
"27122",NA,"disk"
"27135","gb","circle"
"27140",NA,"disk"
"27144","gb","fireball"
"27145","gb","fireball"
"27146","gb","light"
"27151","us","disk"
"27154","us","disk"
"27158","gb","sphere"
"27168","us","disk"
"27180","us","disk"
"27186","ca","disk"
"27189","us","disk"
"27196","us","disk"
"27216","us","disk"
"27222","us","disk"
"27253","gb","circle"
"27260","us","disk"
"27263","us","disk"
"27275","gb","light"
"27277","gb","triangle"
"27302","us","disk"
"27310","us","disk"
"27315","us","disk"
"27345","us","disk"
"27347","us","disk"
"27373","us","disk"
"27376","us","disk"
"27395","gb","oval"
"27415","gb","disk"
"27420","us","disk"
"27422","us","disk"
"27435","us","disk"
"27471","us","disk"
"27472","us","disk"
"27479","us","disk"
"27482","ca","disk"
"27489","us","disk"
"27493","gb","flash"
"27503",NA,"disk"
"27545","us","disk"
"27599",NA,"disk"
"27605","us","disk"
"27609","gb","fireball"
"27611","gb","diamond"
"27637","us","disk"
"27651","us","disk"
"27653",NA,"disk"
"27656","us","disk"
"27660","us","disk"
"27671","gb","circle"
"27675","gb","sphere"
"27687","gb","oval"
"27689","gb","light"
"27693","us","disk"
"27711","us","disk"
"27726","us","disk"
"27730","us","disk"
"27736","us","disk"
"27770","us","disk"
"27771","us","disk"
"27773","us","disk"
"27786","au","disk"
"27788","au","disk"
"27793","gb","sphere"
"27796",NA,"disk"
"27798",NA,"disk"
"27829","ca","disk"
"27847","us","disk"
"27853","gb","light"
"27861","ca","disk"
"27874","us","disk"
"27880","gb","triangle"
"27886","gb","sphere"
"27900","gb","other"
"27915","us","disk"
"27922",NA,"disk"
"27974","gb","flash"
"27975",NA,"disk"
"27979",NA,"disk"
"27991","us","disk"
"27992","us","disk"
"27996","gb","triangle"
"28000","ca","disk"
"28003","us","disk"
"28004","us","disk"
"28006","gb","triangle"
"28059","gb","light"
"28066",NA,"disk"
"28072","us","disk"
"28112","gb","fireball"
"28124","us","disk"
"28141",NA,"disk"
"28160","gb","other"
"28171","us","disk"
"28199","us","disk"
"28214","gb","light"
"28225","gb","circle"
"28228","au","disk"
"28243","us","disk"
"28252","gb","triangle"
"28268","us","disk"
"28280","us","disk"
"28297","gb","light"
"28302","ca","disk"
"28304",NA,"disk"
"28306","gb","fireball"
"28326","us","disk"
"28333","us","disk"
"28339","us","disk"
"28341","us","disk"
"28345","gb","circle"
"28348","gb","oval"
"28363","gb","changing"
"28366","us","disk"
"28367","us","disk"
"28368","us","disk"
"28371","us","disk"
"28410","us","disk"
"28418","us","disk"
"28421","us","disk"
"28436","au","disk"
"28438","us","disk"
"28451","gb","circle"
"28464","ca","disk"
"28465","us","disk"
"28469","gb","light"
"28473","gb","circle"
"28474","gb","oval"
"28478","us","disk"
"28484","gb","triangle"
"28488","gb","circle"
"28489","gb","circle"
"28490","gb","fireball"
"28494","gb","flash"
"28517","gb","cone"
"28540","gb","other"
"28546",NA,"disk"
"28547",NA,"disk"
"28575","gb","formation"
"28580","us","disk"
"28596","us","disk"
"28643","gb","light"
"28687","gb","circle"
"28709","us","disk"
"28718",NA,"disk"
"28719","us","disk"
"28758","gb","light"
"28767","us","disk"
"28780","us","disk"
"28805","gb","fireball"
"28809","us","disk"
"28810","us","disk"
"28819","us","disk"
"28821",NA,"disk"
"28848","gb","circle"
"28855","gb","oval"
"28905",NA,"disk"
"28931","us","disk"
"28988","ca","disk"
"28996","gb","disk"
"28999","us","disk"
"29002","us","disk"
"29008","us","disk"
"29013","gb","light"
"29014",NA,"disk"
"29024","gb","cigar"
"29040","gb","cigar"
"29054","au","disk"
"29056","gb","unknown"
"29061","us","disk"
"29070","gb","light"
"29073","us","disk"
"29087","us","disk"
"29123","gb","circle"
"29126","us","disk"
"29151","us","disk"
"29174",NA,"disk"
"29176",NA,"disk"
"29193","gb","oval"
"29206","ca","disk"
"29208","us","disk"
"29223",NA,"disk"
"29234",NA,"disk"
"29253","us","disk"
"29259","gb","light"
"29267","gb","fireball"
"29269","gb","light"
"29319","us","disk"
"29337","us","disk"
"29344",NA,"disk"
"29348","gb","light"
"29356",NA,"disk"
"29363","gb","flash"
"29370","us","disk"
"29373","us","disk"
"29374","gb","disk"
"29377",NA,"disk"
"29391","us","disk"
"29401","gb","circle"
"29416","us","disk"
"29421","gb","sphere"
"29431","us","disk"
"29434",NA,"disk"
"29442","us","disk"
"29443","us","disk"
"29455","us","disk"
"29465","gb","fireball"
"29521","us","disk"
"29547",NA,"disk"
"29548","us","disk"
"29549","us","disk"
"29551","gb","fireball"
"29557","us","disk"
"29559",NA,"disk"
"29572",NA,"disk"
"29578","us","disk"
"29579",NA,"disk"
"29582","us","disk"
"29597","us","disk"
"29603",NA,"disk"
"29606",NA,"disk"
"29617","gb","circle"
"29645","us","disk"
"29683","gb","light"
"29689","us","disk"
"29692","us","disk"
"29694","gb","flash"
"29703",NA,"disk"
"29716",NA,"disk"
"29720","us","disk"
"29739","us","disk"
"29761","us","disk"
"29781","gb","light"
"29784","gb","circle"
"29786","gb","disk"
"29825","us","disk"
"29837",NA,"disk"
"29842",NA,"disk"
"29894","gb","light"
"29899","gb","light"
"29900","gb","light"
"29903","gb","light"
"29921","us","disk"
"29962","gb","other"
"29980","us","disk"
"29984","gb","light"
"29986","us","disk"
"30016","us","disk"
"30057",NA,"disk"
"30071","us","disk"
"30083","us","disk"
"30087","us","disk"
"30107","us","disk"
"30124","gb","light"
"30132","us","disk"
"30134","us","disk"
"30146","gb","fireball"
"30156","gb","cylinder"
"30162","us","disk"
"30174","us","disk"
"30186","us","disk"
"30211","ca","disk"
"30253","us","disk"
"30262","us","disk"
"30313","gb","circle"
"30338","gb","fireball"
"30356","gb","circle"
"30363","us","disk"
"30368","us","disk"
"30369","gb","other"
"30378","us","disk"
"30393","us","disk"
"30404","gb","other"
"30450","gb","light"
"30471","us","disk"
"30490","us","disk"
"30499",NA,"disk"
"30505","gb","light"
"30518","gb","fireball"
"30519","us","disk"
"30522","us","disk"
"30550","us","disk"
"30561","au","disk"
"30562","ca","disk"
"30569","us","disk"
"30578",NA,"disk"
"30596","us","disk"
"30612","us","disk"
"30619","us","disk"
"30620","us","disk"
"30629",NA,"disk"
"30643","us","disk"
"30681","us","disk"
"30686","us","disk"
"30690","us","disk"
"30691","gb","circle"
"30709","us","disk"
"30756","us","disk"
"30784","us","disk"
"30788","us","disk"
"30789","gb","flash"
"30792","us","disk"
"30793","us","disk"
"30819","gb","circle"
"30845","us","disk"
"30859","us","disk"
"30861","gb","sphere"
"30872","us","disk"
"30878","us","disk"
"30882","us","disk"
"30924","us","disk"
"30938","gb","triangle"
"30974","gb","circle"
"31005","us","disk"
"31012","au","disk"
"31031",NA,"disk"
"31039","us","disk"
"31046","gb","diamond"
"31054","ca","disk"
"31075",NA,"disk"
"31095","us","disk"
"31098","gb","light"
"31120","gb","oval"
"31128",NA,"disk"
"31136","gb","circle"
"31181","us","disk"
"31184","us","disk"
"31186",NA,"disk"
"31188",NA,"disk"
"31189",NA,"disk"
"31204",NA,"disk"
"31219","us","disk"
"31244","us","disk"
"31246","us","disk"
"31260","us","disk"
"31315",NA,"disk"
"31371","us","disk"
"31381","us","disk"
"31385","us","disk"
"31396","gb","egg"
"31406","gb","cigar"
"31409","gb","light"
"31424","us","disk"
"31429",NA,"disk"
"31448","us","disk"
"31476","us","disk"
"31535",NA,"disk"
"31539","us","disk"
"31542","gb","teardrop"
"31568",NA,"disk"
"31578","gb","disk"
"31596","us","disk"
"31612","us","disk"
"31666","us","disk"
"31731",NA,"disk"
"31741","us","disk"
"31742","us","disk"
"31744","gb","diamond"
"31754","us","disk"
"31790","us","disk"
"31799","gb","triangle"
"31806","us","disk"
"31848","gb","light"
"31850","us","disk"
"31862","us","disk"
"31884","us","disk"
"31887","us","disk"
"31892",NA,"disk"
"31906","ca","disk"
"31912","gb","light"
"31924","ca","disk"
"31929","gb","triangle"
"31940",NA,"disk"
"31948","gb","formation"
"31953","us","disk"
"31955","us","disk"
"31971","us","disk"
"31984","gb","other"
"32030","us","disk"
"32038","us","disk"
"32042","us","disk"
"32046","gb","cigar"
"32051","us","disk"
"32055","us","disk"
"32056","ca","disk"
"32066",NA,"disk"
"32069","us","disk"
"32090","us","disk"
"32096","us","disk"
"32109","ca","disk"
"32121","gb","circle"
"32168","ca","disk"
"32173","us","disk"
"32199",NA,"disk"
"32201","gb","cone"
"32205","gb","flash"
"32209","gb","circle"
"32212","gb","triangle"
"32213","us","disk"
"32227","us","disk"
"32232","gb","formation"
"32247","us","disk"
"32257","us","disk"
"32264","us","disk"
"32294","us","disk"
"32331","us","disk"
"32353","gb","changing"
"32354","us","disk"
"32382","us","disk"
"32389","ca","disk"
"32394","us","disk"
"32417","gb","formation"
"32423","us","disk"
"32424","us","disk"
"32439","us","disk"
"32443","gb","light"
"32452","gb","changing"
"32456","us","disk"
"32458","gb","light"
"32459","gb","disk"
"32461","gb","unknown"
"32463","gb","cylinder"
"32492","us","disk"
"32499","gb","cigar"
"32509",NA,"disk"
"32514",NA,"disk"
"32529","us","disk"
"32538",NA,"disk"
"32549",NA,"disk"
"32567","us","disk"
"32573","us","disk"
"32583","gb","other"
"32614",NA,"disk"
"32615","us","disk"
"32628","us","disk"
"32655","us","disk"
"32667","gb","sphere"
"32670","us","disk"
"32673","us","disk"
"32691","us","disk"
"32715","us","disk"
"32729","us","disk"
"32754",NA,"disk"
"32764",NA,"disk"
"32765","us","disk"
"32776","us","disk"
"32790","gb","other"
"32801","gb","fireball"
"32835","us","disk"
"32837","us","disk"
"32851",NA,"disk"
"32874","us","disk"
"32887","gb","egg"
"32892","us","disk"
"32913","us","disk"
"32917","gb","disk"
"32920","us","disk"
"32922","gb","unknown"
"32924","gb","triangle"
"32926","gb",NA
"32928","gb","circle"
"32938","gb","light"
"32945","gb","other"
"32953","us","disk"
"32955","us","disk"
"32956","us","disk"
"32959","us","disk"
"32985","gb","diamond"
"33005","gb","light"
"33064","us","disk"
"33070","gb","cylinder"
"33097","gb","light"
"33098","gb","changing"
