"","country","shape"
"3465","gb","egg"
"3493","us","disk"
"3494","gb","triangle"
"3496","us","disk"
"3499","gb","diamond"
"3529","us","disk"
"3554","gb","light"
"3557","us","disk"
"3561","us","disk"
"3574","us","disk"
"3579","gb","other"
"3580","us","disk"
"3615","us","disk"
"3617","us","disk"
"3667","us","disk"
"3672",NA,"disk"
"3673","us","disk"
"3694","us","disk"
"3750","us","disk"
"3751","us","disk"
"3752","us","disk"
"3753","us","disk"
"3757","gb","triangle"
"3758","gb","triangle"
"3762","us","disk"
"3763","us","disk"
"3797",NA,"disk"
"3811",NA,"disk"
"3824","gb","light"
"3829","us","disk"
"3840","us","disk"
"3847","us","disk"
"3848","gb","disk"
"3862","us","disk"
"3863","us","disk"
"3879","us","disk"
"3886","us","disk"
"3924","gb","light"
"3946","us","disk"
"3967","us","disk"
"3969","us","disk"
"3977",NA,"disk"
"3993",NA,"disk"
"4005","us","disk"
"4031","us","disk"
"4035","gb","oval"
"4077",NA,"disk"
"4078",NA,"disk"
"4092","us","disk"
"4149","us","disk"
"4156","us","disk"
"4162","us","disk"
"4175","us","disk"
"4179",NA,"disk"
"4192",NA,"disk"
"4194","gb","triangle"
"4201","us","disk"
"4204","us","disk"
"4214","us","disk"
"4215","us","disk"
"4218",NA,"disk"
"4227","gb","fireball"
"4230","us","disk"
"4231","us","disk"
"4235","us","disk"
"4239","us","disk"
"4255","us","disk"
"4257","us","disk"
"4272","gb","teardrop"
"4283","gb","fireball"
"4288",NA,"disk"
"4305","us","disk"
"4358","us","disk"
"4371","us","disk"
"4398","us","disk"
"4405","us","disk"
"4420","us","disk"
"4505","gb","fireball"
"4572","us","disk"
"4579","us","disk"
"4626","us","disk"
"4627","us","disk"
"4650","us","disk"
"4652","us","disk"
"4681","ca","disk"
"4686","gb","circle"
"4689","gb","light"
"4695","us","disk"
"4697","us","disk"
"4699",NA,"disk"
"4702","gb","sphere"
"4706","us","disk"
"4728","us","disk"
"4736","gb","formation"
"4744","gb","triangle"
"4755","gb","disk"
"4757","gb","fireball"
"4779","gb","circle"
"4784",NA,"disk"
"4800",NA,"disk"
"4827","us","disk"
"4845","us","disk"
"4876","us","disk"
"4886","us","disk"
"4888","us","disk"
"4893","us","disk"
"4894","us","disk"
"4914","us","disk"
"4920","us","disk"
"4940","gb","cigar"
"4942","us","disk"
"4944","us","disk"
"4960","us","disk"
"5020",NA,"disk"
"5040","gb","sphere"
"5068","us","disk"
"5075","us","disk"
"5091","us","disk"
"5094","us","disk"
"5095","us","disk"
"5108","us","disk"
"5141",NA,"disk"
"5144","gb","oval"
"5145","us","disk"
"5164","us","disk"
"5172",NA,"disk"
"5177","gb","sphere"
"5184","gb","other"
"5210","gb","sphere"
"5216","gb","fireball"
"5220","us","disk"
"5244",NA,"disk"
"5249","us","disk"
"5255","gb","diamond"
"5271","us","disk"
"5284","us","disk"
"5322","us","disk"
"5330",NA,"disk"
"5335","gb","cylinder"
"5346","gb",NA
"5355","us","disk"
"5356","us","disk"
"5358",NA,"disk"
"5362","gb","cigar"
"5363","us","disk"
"5401","us","disk"
"5414","us","disk"
"5432","us","disk"
"5448","us","disk"
"5533",NA,"disk"
"5553","gb","teardrop"
"5562","us","disk"
"5563","us","disk"
"5576",NA,"disk"
"5579","us","disk"
"5589","us","disk"
"5603","us","disk"
"5612","us","disk"
"5648","gb","other"
"5651","us","disk"
"5653","us","disk"
"5656","us","disk"
"5678","us","disk"
"5701","gb","diamond"
"5748","us","disk"
"5749","ca","disk"
"5750","us","disk"
"5768","us","disk"
"5792",NA,"disk"
"5793",NA,"disk"
"5804","us","disk"
"5816","us","disk"
"5838","us","disk"
"5841","us","disk"
"5842","us","disk"
"5849","us","disk"
"5865","us","disk"
"5866","us","disk"
"5889","us","disk"
"5919","us","disk"
"5945","us","disk"
"5947","gb","sphere"
"5971",NA,"disk"
"6001","us","disk"
"6002","us","disk"
"6003",NA,"disk"
"6005","us","disk"
"6006","us","disk"
"6016","us","disk"
"6021","us","disk"
"6032","us","disk"
"6052","us","disk"
"6064","us","disk"
"6082","us","disk"
"6089",NA,"disk"
"6111","au","disk"
"6112","au","disk"
"6129","us","disk"
"6147","us","disk"
"6150","gb","circle"
"6159","ca","disk"
"6161","gb","circle"
"6189","gb","circle"
"6192","gb","other"
"6216","gb","other"
"6235","us","disk"
"6249","us","disk"
"6252","us","disk"
"6255","us","disk"
"6259","us","disk"
"6302","us","disk"
"6321","us","disk"
"6323","us","disk"
"6328","us","disk"
"6330","us","disk"
"6332","us","disk"
"6333","us","disk"
"6354","ca","disk"
"6355","ca","disk"
"6362","us","disk"
"6372","gb","triangle"
"6378","us","disk"
"6476","gb","unknown"
"6484",NA,"disk"
"6503","us","disk"
"6505","us","disk"
"6517","gb","diamond"
"6524","us","disk"
"6525","gb","light"
"6531","us","disk"
"6535","gb","unknown"
"6550","gb","light"
"6572","gb","sphere"
"6574","us","disk"
"6621",NA,"disk"
"6658","ca","disk"
"6664","us","disk"
"6666",NA,"disk"
"6691","us","disk"
"6705","us","disk"
"6706","us","disk"
"6708","us","disk"
"6713","us","disk"
"6744","us","disk"
"6757","us","disk"
"6759","gb","fireball"
"6787","us","disk"
"6788","us","disk"
"6879","us","disk"
"6880","us","disk"
"6883","us","disk"
"6914","us","disk"
"6920","us","disk"
"6924","gb","disk"
"6936","gb","diamond"
"6963","us","disk"
"6993","us","disk"
"6994","gb","circle"
"7003","us","disk"
"7024","gb","fireball"
"7045","us","disk"
"7057",NA,"disk"
"7076","gb","triangle"
"7099","us","disk"
"7100","us","disk"
"7101","us","disk"
"7129","gb","triangle"
"7152","us","disk"
"7155","us","disk"
"7169","us","disk"
"7199","au","disk"
"7219","gb","circle"
"7237","us","disk"
"7240","us","disk"
"7246","us","disk"
"7252","ca","disk"
"7269","us","disk"
"7272","us","disk"
"7304","ca","disk"
"7305",NA,"disk"
"7323","us","disk"
"7325","gb","fireball"
"7335","us","disk"
"7352","gb","oval"
"7356","us","disk"
"7357",NA,"disk"
"7365","us","disk"
"7370",NA,"disk"
"7372",NA,"disk"
"7374","us","disk"
"7397","us","disk"
"7398","us","disk"
"7400","gb","cone"
"7404","us","disk"
"7410","us","disk"
"7423","us","disk"
"7430","us","disk"
"7445","gb","circle"
"7446","gb","light"
"7449","gb",NA
"7463","us","disk"
"7475","us","disk"
"7485","us","disk"
"7509","us","disk"
"7557","us","disk"
"7560","ca","disk"
"7563",NA,"disk"
"7566","gb","light"
"7580","us","disk"
"7588","us","disk"
"7602","gb","circle"
"7609","us","disk"
"7611","gb","light"
"7618","us","disk"
"7652","gb","fireball"
"7663","us","disk"
"7674",NA,"disk"
"7677","gb","disk"
"7686","us","disk"
"7723","us","disk"
"7738","us","disk"
"7752","us","disk"
"7753","us","disk"
"7786","us","disk"
"7789","gb","triangle"
"7802","us","disk"
"7813","us","disk"
"7824",NA,"disk"
"7831","ca","disk"
"7836","us","disk"
"7842",NA,"disk"
"7854","us","disk"
"7876","us","disk"
"7893","us","disk"
"7900","us","disk"
"7909","us","disk"
"7910","us","disk"
"7975","us","disk"
"7976",NA,"disk"
"7982","gb","other"
"7988","us","disk"
"7989","gb","sphere"
"7991","gb","other"
"7992","us","disk"
"7995","us","disk"
"8002","us","disk"
"8009","gb","light"
"8016","us","disk"
"8025","us","disk"
"8035","us","disk"
"8045","gb","light"
"8062","us","disk"
"8086","us","disk"
"8095","us","disk"
"8117","us","disk"
"8140","us","disk"
"8146","us","disk"
"8156","us","disk"
"8202","us","disk"
"8206","gb","disk"
"8209","au","disk"
"8211",NA,"disk"
"8212","us","disk"
"8230","gb","circle"
"8237","us","disk"
"8241","us","disk"
"8251","us","disk"
"8262",NA,"disk"
"8263","us","disk"
"8264","gb","circle"
"8276","us","disk"
"8285","gb","changing"
"8286",NA,"disk"
"8290","us","disk"
"8291",NA,"disk"
"8300","us","disk"
"8312","gb","teardrop"
"8323","us","disk"
"8339","us","disk"
"8361","us","disk"
"8365","gb","changing"
"8368",NA,"disk"
"8370","gb","circle"
"8374","gb","triangle"
"8390","gb","disk"
"8396","gb","other"
"8448","gb","cylinder"
"8451","us","disk"
"8459","us","disk"
"8466","us","disk"
"8475","au","disk"
"8478","us","disk"
"8479","us","disk"
"8483","ca","disk"
"8519","us","disk"
"8520","us","disk"
"8523","us","disk"
"8536","us","disk"
"8585","us","disk"
"8590","us","disk"
"8603","us","disk"
"8616","us","disk"
"8618","us","disk"
"8624",NA,"disk"
"8717","us","disk"
"8720","us","disk"
"8735",NA,"disk"
"8745","gb","light"
"8765","us","disk"
"8771","us","disk"
"8777","us","disk"
"8783","gb","light"
"8785",NA,"disk"
"8787","us","disk"
"8790","gb","formation"
"8798","us","disk"
"8805","gb","fireball"
"8810",NA,"disk"
"8812","gb","light"
"8832","us","disk"
"8834","gb","egg"
"8854","gb","formation"
"8869",NA,"disk"
"8874","us","disk"
"8899",NA,"disk"
"8903","us","disk"
"8909","ca","disk"
"8914","us","disk"
"8919","gb","circle"
"8943","us","disk"
"8964",NA,"disk"
"8982","gb","sphere"
"8991","us","disk"
"8996","us","disk"
"9006",NA,"disk"
"9009","us","disk"
"9012","us","disk"
"9015","gb","light"
"9024","gb","rectangle"
"9032","us","disk"
"9033","gb","other"
"9034","gb","cigar"
"9040","us","disk"
"9068",NA,"disk"
"9085","us","disk"
"9105","us","disk"
"9108","us","disk"
"9129","gb","oval"
"9132","gb","changing"
"9134","gb","light"
"9165","us","disk"
"9196","us","disk"
"9202","ca","disk"
"9245","us","disk"
"9266","us","disk"
"9287","gb","circle"
"9295","us","disk"
"9301","gb","light"
"9313","us","disk"
"9314","us","disk"
"9318","us","disk"
"9326","us","disk"
"9327","us","disk"
"9328","us","disk"
"9364","gb","circle"
"9367","us","disk"
"9370","gb","light"
"9383","gb","circle"
"9390","us","disk"
"9430","us","disk"
"9435","us","disk"
"9454","gb","circle"
"9464","us","disk"
"9467","us","disk"
"9480","us","disk"
"9502","gb","sphere"
"9540",NA,"disk"
"9542","au","disk"
"9573","us","disk"
"9575","us","disk"
"9577","us","disk"
"9581","us","disk"
"9591","us","disk"
"9610",NA,"disk"
"9614","gb","triangle"
"9621","au","disk"
"9622","us","disk"
"9625","gb","unknown"
"9629","us","disk"
"9631","gb","circle"
"9642","us","disk"
"9648","gb","diamond"
"9671","gb","light"
"9676","gb","cigar"
"9693","us","disk"
"9698","gb","formation"
"9700","us","disk"
"9717","us","disk"
"9730","us","disk"
"9731","us","disk"
"9743","gb","unknown"
"9765","gb","light"
"9817","us","disk"
"9834","us","disk"
"9871","us","disk"
"9910",NA,"disk"
"9916","us","disk"
"9933","us","disk"
"9960","gb","light"
"9969","gb","sphere"
"9974","us","disk"
"10010","us","disk"
"10015","us","disk"
"10036","us","disk"
"10039",NA,"disk"
"10058","us","disk"
"10091","us","disk"
"10119","gb","triangle"
"10134","gb","rectangle"
"10146",NA,"disk"
"10148",NA,"disk"
"10191","gb","fireball"
"10197","gb","sphere"
"10198","us","disk"
"10201","gb","circle"
"10211","gb","fireball"
"10264","us","disk"
"10291","us","disk"
"10296","gb","disk"
"10299","us","disk"
"10307","us","disk"
"10309","us","disk"
"10310","us","disk"
"10312","us","disk"
"10314","us","disk"
"10318",NA,"disk"
"10323","us","disk"
"10325","us","disk"
"10328","us","disk"
"10331","us","disk"
"10333","us","disk"
"10335",NA,"disk"
"10358","us","disk"
"10359","us","disk"
"10360","us","disk"
"10362",NA,"disk"
"10363","us","disk"
"10366","us","disk"
"10379","us","disk"
"10386",NA,"disk"
"10390","us","disk"
"10415","gb","unknown"
"10426","gb","rectangle"
"10428",NA,"disk"
"10430","us","disk"
"10439","gb","light"
"10464","gb","diamond"
"10465","gb","triangle"
"10485","gb","rectangle"
"10486","gb","light"
"10492","gb","light"
"10494","gb","light"
"10516",NA,"disk"
"10517","us","disk"
"10524","gb","egg"
"10541",NA,"disk"
"10544",NA,"disk"
"10547","us","disk"
"10553","gb","circle"
"10571","us","disk"
"10573","gb","sphere"
"10578","gb","circle"
"10587","us","disk"
"10598","us","disk"
"10604",NA,"disk"
"10615","us","disk"
"10619","us","disk"
"10633","us","disk"
"10639",NA,"disk"
"10645","us","disk"
"10655",NA,"disk"
"10778","us","disk"
"10798","us","disk"
"10919","us","disk"
"10989",NA,"disk"
"10991","au","disk"
"10997","gb","light"
"11009",NA,"disk"
"11016","us","disk"
"11019","us","disk"
"11020","us","disk"
"11025",NA,"disk"
"11033","us","disk"
"11048","gb","light"
"11056","us","disk"
"11078","us","disk"
"11173","us","disk"
"11175",NA,"disk"
"11179",NA,"disk"
"11214","us","disk"
"11224","gb","flash"
"11273","gb","unknown"
"11291","gb","light"
"11292","gb","unknown"
"11303","gb","circle"
"11331","us","disk"
"11340","us","disk"
"11356","us","disk"
"11367","us","disk"
"11376","us","disk"
"11381","us","disk"
"11398","us","disk"
"11401","us","disk"
"11424","gb","circle"
"11467","us","disk"
"11479","us","disk"
"11489","us","disk"
"11497","us","disk"
"11511","us","disk"
"11564","us","disk"
"11567","gb","unknown"
"11574","us","disk"
"11575","us","disk"
"11579","gb","light"
"11580","gb","light"
"11587",NA,"disk"
"11599","gb","light"
"11613","us","disk"
"11619","us","disk"
"11666","us","disk"
"11672","us","disk"
"11679","gb","flash"
"11691","gb","other"
"11701","us","disk"
"11713","us","disk"
"11717","us","disk"
"11751","us","disk"
"11771","us","disk"
"11825","us","disk"
"11828","gb","light"
"11835","us","disk"
"11838","us","disk"
"11858","gb","triangle"
"11873","gb","cigar"
"11897","gb",NA
"11915",NA,"disk"
"11961",NA,"disk"
"11963",NA,"disk"
"11970","us","disk"
"11974","us","disk"
"11980",NA,"disk"
"11985","us","disk"
"11999","us","disk"
"12000",NA,"disk"
"12008",NA,"disk"
"12012",NA,"disk"
"12013","us","disk"
"12014","us","disk"
"12016","us","disk"
"12022","us","disk"
"12023","gb","disk"
"12025","us","disk"
"12028",NA,"disk"
"12030","us","disk"
"12031","us","disk"
"12037","us","disk"
"12038","gb","cylinder"
"12052",NA,"disk"
"12104","us","disk"
"12109","us","disk"
"12116",NA,"disk"
"12119",NA,"disk"
"12126",NA,"disk"
"12154","us","disk"
"12156",NA,"disk"
"12160","au","disk"
"12180","gb","formation"
"12183","gb","sphere"
"12187","gb","sphere"
"12193","gb","light"
"12195","gb","light"
"12198","us","disk"
"12200","us","disk"
"12219",NA,"disk"
"12224","gb","fireball"
"12226","us","disk"
"12232","gb","other"
"12239","gb","sphere"
"12245","gb","formation"
"12249","us","disk"
"12284","us","disk"
"12288",NA,"disk"
"12290","us","disk"
"12291","us","disk"
"12297","us","disk"
"12304","gb","oval"
"12308","us","disk"
"12314","us","disk"
"12318","gb","disk"
"12323","gb","formation"
"12331","us","disk"
"12361","gb","light"
"12362","gb","oval"
"12371","gb","disk"
"12372","gb","flash"
"12378","gb","other"
"12380","gb","other"
"12385","gb","fireball"
"12416","gb","diamond"
"12417","gb","fireball"
"12419","gb","oval"
"12422","gb","light"
"12424","gb","circle"
"12425","us","disk"
"12431","gb","other"
"12433","gb","fireball"
"12448","gb","fireball"
"12517","us","disk"
"12536",NA,"disk"
"12565","gb","sphere"
"12570","us","disk"
"12573","gb","oval"
"12579",NA,"disk"
"12603",NA,"disk"
"12605","gb","light"
"12621","gb","fireball"
"12623","gb","oval"
"12624","us","disk"
"12663","us","disk"
"12743",NA,"disk"
"12787",NA,"disk"
"12797","gb","disk"
"12801","us","disk"
"12804","us","disk"
"12810","us","disk"
"12864",NA,"disk"
"12872","gb","light"
"12911","gb","sphere"
"12931","gb","rectangle"
"12936","us","disk"
"12945",NA,"disk"
"12993","us","disk"
"12997","us","disk"
"13001",NA,"disk"
"13016","us","disk"
"13040",NA,"disk"
"13050","gb","light"
"13056","us","disk"
"13057","ca","disk"
"13067","gb","other"
"13090",NA,"disk"
"13116","us","disk"
"13120","us","disk"
"13173","us","disk"
"13177","us","disk"
"13181","us","disk"
"13182","us","disk"
"13207","us","disk"
"13213","us","disk"
"13214","us","disk"
"13215","us","disk"
"13221","gb","oval"
"13223","us","disk"
"13224","us","disk"
"13232","au","disk"
"13241","gb","triangle"
"13248","us","disk"
"13271",NA,"disk"
"13292",NA,"disk"
"13296","us","disk"
"13300","gb","oval"
"13323","gb","cross"
"13325","us","disk"
"13337","us","disk"
"13343","us","disk"
"13354","us","disk"
"13367",NA,"disk"
"13371","gb","formation"
"13382","gb","changing"
"13431","us","disk"
"13433","us","disk"
"13450","us","disk"
"13458","us","disk"
"13463","us","disk"
"13496",NA,"disk"
"13548","us","disk"
"13552","gb","sphere"
"13574","us","disk"
"13575","us","disk"
"13599",NA,"disk"
"13601","us","disk"
"13602","us","disk"
"13611","us","disk"
"13620",NA,"disk"
"13633","au","disk"
"13637","gb","sphere"
"13638","us","disk"
"13654","gb","circle"
"13663","gb","cigar"
"13689","us","disk"
"13695","us","disk"
"13704","us","disk"
"13717","gb","triangle"
"13728","gb","circle"
"13740","gb","oval"
"13747","us","disk"
"13751","us","disk"
"13769","us","disk"
"13807","us","disk"
