"","datetime","city","country","shape"
"133",2020-10-15,"grand view","us","light"
"134",2020-10-31,"temperance","us","oval"
"135",2020-01-17,"crescent beach","us","formation"
"136",2020-02-01,"albuquerque","us","light"
"137",2020-10-15,"bickerton (near wetherby) (uk/england)",NA,"unknown"
"138",2020-09-02,"gleason","us","sphere"
"139",2020-12-12,"mahwah","us","triangle"
"140",2020-10-27,"worthington st. forest",NA,"other"
"141",2020-10-27,"portage la prairie (canada)","ca","changing"
"142",2020-10-27,"terre haute","us","sphere"
"143",2020-10-27,"indianapolis","us","oval"
"144",2020-10-27,"nobel (canada)","ca","unknown"
"145",2020-05-24,"morgantown","us","circle"
"146",2020-05-24,"berkeley","us","unknown"
"147",2020-10-27,"rock island","us","sphere"
"148",2020-10-27,"kedainiai (lithuania)",NA,"oval"
"149",2020-10-27,"chateauqua",NA,"formation"
"150",2020-10-27,"ripley","us","circle"
"151",2020-10-27,"faribault","us","flash"
"152",2020-10-27,"mansfield","us","light"
"153",2020-11-28,"columbia","us","light"
"154",2020-09-02,"gleason","us","sphere"
"155",2020-10-11,"seattle","us","other"
"156",2020-10-11,"apache junction","us","other"
"157",2020-10-20,"north miami beach","us","oval"
"158",2020-10-11,"edgewater","us",NA
"159",2020-10-20,"los angeles","us","egg"
"160",2020-10-30,"loretto","us","triangle"
"161",2020-05-15,"newtown (uk/wales)","gb","formation"
"162",2020-12-07,"lewisburg","us","unknown"
"163",2020-10-11,"north miami beach","us","other"
"164",2020-10-20,"east wenatchee","us","light"
"165",2020-10-11,"hendersonville","us","light"
"166",2020-10-30,"brainerd","us","disk"
"167",2020-10-20,"franklin","us","disk"
"168",2020-02-01,"pennington","us","diamond"
"169",2020-10-30,"san francisco","us","triangle"
"170",2020-10-30,"blairsville","us","unknown"
"171",2020-10-30,"savannah","us","light"
"172",2020-10-30,"waynesboro","us","triangle"
"173",2020-12-07,"unsure",NA,"fireball"
"174",2020-12-12,"bray","us","other"
"175",2020-10-30,"plymouth (devonshire) (uk/england)","gb","formation"
"176",2020-10-30,"waycross","us","light"
"177",2020-10-30,"wolfforth","us","disk"
"178",2020-10-30,"lyndhurst","us","unknown"
"179",2020-10-30,"knik","us","triangle"
"180",2020-11-28,"lebanon","us","light"
"181",2020-11-28,"stockbridge","us","changing"
"182",2020-11-28,"denver","us","changing"
"183",2020-03-04,"jacksonville","us","sphere"
"184",2020-11-28,"bakersfield","us","circle"
"185",2020-06-09,"indio","us","oval"
"186",2020-11-28,"owego","us","triangle"
"187",2020-11-28,"downingtown","us","circle"
"188",2020-11-28,"austin","us","flash"
"189",2020-06-12,"starrsville (covington)","us","sphere"
"190",2020-11-28,"west palm beach florida",NA,"fireball"
"191",2020-11-28,"conyers","us","unknown"
"192",2020-11-28,"vero beach","us","unknown"
"193",2020-11-28,"jensen beach","us","oval"
"194",2020-11-28,"houston","us","formation"
"195",2020-01-21,"duluth","us","light"
"196",2020-11-28,"fleming","us","circle"
"197",2020-01-21,"grove city","us","unknown"
"198",2020-11-28,"van alstyne","us","other"
"199",2020-11-28,"northglenn","us","triangle"
"200",2020-01-21,"stord (norway)",NA,"light"
"201",2020-06-09,"london (canada)","ca","other"
"202",2020-10-31,"north branch","us","light"
"203",2020-10-31,"slingerlands","us","circle"
"204",2020-07-19,"carlin","us","disk"
"205",2020-10-31,"evansville","us","formation"
"206",2020-10-31,"albany","us","oval"
"207",2020-10-31,"amarillo (hwy. 140)","us","flash"
"208",2020-10-31,"fremont","us","triangle"
"209",2020-10-10,"yuma","us","triangle"
"210",2020-10-31,"south bend","us","light"
"211",2020-10-31,"la crescent","us","formation"
"212",2020-10-31,"moon township",NA,"unknown"
"213",2020-07-04,"philadelphia","us","oval"
"214",2020-10-31,"seattle","us","light"
"215",2020-10-31,"pueblo","us","light"
"216",2020-10-31,"cincinnati","us","oval"
"217",2020-10-31,"san diego","us","disk"
"218",2020-10-31,"madison","us","circle"
"219",2020-10-31,"coldwater","us","sphere"
"220",2020-12-12,"greenland",NA,"rectangle"
"221",2020-12-12,"crested butte","us","egg"
"222",2020-12-12,"tulsa","us","unknown"
"223",2020-12-12,"eagar","us","unknown"
"224",2020-12-12,"suffolk","us","unknown"
"225",2020-12-12,"anaheim","us","light"
"226",2020-12-12,"wilmington","us","light"
"227",2020-11-21,"leesburg","us","disk"
"228",2020-07-04,"thief river falls","us","other"
"229",2020-12-12,"michigan city","us","changing"
"230",2020-12-12,"cupertino","us","light"
"231",2020-01-05,"orchard park","us","light"
"232",2020-11-21,"harrisburg","us","circle"
"233",2020-11-21,"euclid","us","circle"
"234",2020-11-21,"starr","us","formation"
"235",2020-11-21,"leominster","us","flash"
"236",2020-11-21,"greenwich","us","light"
"237",2020-07-04,"north charleston","us","light"
"238",2020-09-30,"san francisco airport",NA,"triangle"
"239",2020-11-21,"springfield","us","cigar"
"240",2020-11-21,"bridgeport","us","light"
"241",2020-11-21,"clackamas","us","triangle"
"242",2020-11-21,"san angelo","us","oval"
"243",2020-05-02,"windsor","us","fireball"
"244",2020-11-21,"sterling","us","cylinder"
"245",2020-11-21,"everett","us","other"
"246",2020-01-31,"kykotsmovi","us","disk"
"247",2020-08-30,"albany","us","circle"
"248",2020-11-21,"garden grove","us","egg"
"249",2020-11-21,"miami","us","changing"
"250",2020-11-21,"anaheim","us","disk"
"251",2020-10-10,"troy","us","triangle"
"252",2020-08-30,"farmington","us","circle"
"253",2020-10-10,"prescott valley","us","other"
"254",2020-10-19,"ashville","us","circle"
"255",2020-12-12,"epsom (surrey) (uk/england)","gb","oval"
"256",2020-10-25,"north kingstown","us","oval"
"257",2020-10-10,"groton","us","disk"
"258",2020-10-19,"peabody-saugus",NA,"flash"
"259",2020-10-19,"mechanicsville","us","light"
"260",2020-10-19,"murfeesboro/smyrna",NA,NA
"261",2020-10-19,"hamilton (canada)","ca","flash"
"262",2020-10-19,"middletown","us","fireball"
"263",2020-12-12,"lakewood","us","fireball"
"264",2020-10-19,"york","us","circle"
"265",2020-12-12,"north platte","us","circle"
"266",2020-10-19,"waynesville","us","triangle"
"267",2020-10-30,"bridgeport","us","circle"
"268",2020-09-30,"san francisco airport",NA,"triangle"
"269",2020-10-30,"san diego","us","sphere"
"270",2020-10-30,"sterling heights","us","oval"
"271",2020-10-30,"syracuse","us","light"
"272",2020-10-30,"syracuse","us","circle"
"273",2020-10-30,"colorado springs","us","light"
"274",2020-10-30,"moundville","us","changing"
"275",2020-10-30,"new york city (bronx)","us","disk"
"276",2020-10-30,"mount albert (canada)",NA,"triangle"
"277",2020-10-30,"las cruces","us","fireball"
"278",2020-10-30,"marion","us","light"
"279",2020-10-30,"san jose","us","other"
"280",2020-10-30,"phoenix","us","sphere"
"281",2020-10-30,"yakima","us","light"
"282",2020-12-20,"austin","us","changing"
"283",2020-10-30,"bean station","us","cigar"
"284",2020-11-19,"rochester","us","light"
"285",2020-10-30,"suffern","us","cylinder"
"286",2020-10-30,"rancho mirage","us","rectangle"
"287",2020-10-14,"clifton",NA,"light"
"288",2020-10-14,"palm harbor","us","chevron"
"289",2020-10-14,"sandusky","us","triangle"
"290",2020-10-14,"aurburn",NA,"triangle"
"291",2020-10-23,"st. louis county","us","light"
"292",2020-10-14,"ottawa (canada)","ca","light"
"293",2020-10-14,"rittman","us","light"
"294",2020-10-23,"harvey station (canada)","ca","light"
"295",2020-10-14,"essex junction","us","light"
"296",2020-10-14,"kenner","us","circle"
"297",2020-10-14,"drexel","us","circle"
"298",2020-10-14,"hudson","us","light"
"299",2020-10-14,"grand blanc","us","light"
"300",2020-10-14,"savage","us","circle"
"301",2020-10-14,"warren","us","sphere"
"302",2020-10-14,"canton","us","triangle"
"303",2020-10-14,"kingsville (canada)","ca",NA
"304",2020-10-14,"lost creek","us","triangle"
"305",2020-10-14,"hudson","us","light"
"306",2020-07-11,"jupiter","us","egg"
"307",2020-10-28,"brighton","us","circle"
"308",2020-01-19,"alice springs  (nt&#44 australia)","au",NA
"309",2020-10-14,"minnetonka","us","light"
"310",2020-08-19,"otto","us","fireball"
"311",2020-02-12,"copenhagen (denmark)",NA,"fireball"
"312",2020-10-15,"kewanee","us","sphere"
"313",2020-07-26,"kewanee","us","sphere"
"314",2020-03-06,"albuquerque","us","sphere"
"315",2020-01-29,"jackson","us","triangle"
"316",2019-01-28,"riverside","us","chevron"
"317",2020-09-02,"hot springs and custer",NA,"triangle"
"318",2019-11-02,"new york city (brooklyn)","us",NA
"319",2019-11-02,"huntington","us",NA
"320",2020-11-08,"bismarck","us","formation"
"321",2020-09-24,"damascus","us","light"
"322",2020-06-12,"hafnarfjordur (iceland)",NA,"sphere"
"323",2019-01-28,"esl&ouml;&#44 scania (sweden)",NA,NA
"324",2019-11-01,"montara","us","other"
"325",2019-11-01,"vega baja (puerto rico)","us","cigar"
"326",2019-11-01,"mount carmel","us","light"
"327",2019-11-01,"highland","us","sphere"
"328",2019-11-01,"highland","us","sphere"
"329",2019-11-01,"bar harbor (bar island crossover)","us","sphere"
"330",2019-11-01,"elk grove","us","fireball"
"331",2020-03-21,"montgomery","us","light"
"332",2020-10-19,"milton (canada)","ca","triangle"
"333",2019-10-19,"los angeles","us","light"
"334",2019-10-19,"somerset?",NA,"unknown"
"335",2019-10-19,"three rivers","us","oval"
"336",2019-10-19,"canby","us","light"
"337",2020-04-22,"parry sound (near) (canada)","ca","disk"
"338",2019-10-19,"portville","us","oval"
"339",2019-10-19,"portville","us","oval"
"340",2019-10-19,"portville","us","oval"
"341",2019-10-19,"portville","us","oval"
"342",2019-10-19,"kirbyville (due south of)","us","other"
"343",2019-10-19,"winnemucca","us","cigar"
"344",2019-10-19,"ashland","us","triangle"
"345",2019-11-09,"augusta","us","light"
"346",2019-10-19,"montgomery","us","light"
"347",2019-11-02,"eureka springs","us","light"
"348",2019-10-19,"parker&#39s lake",NA,"disk"
"349",2019-11-09,"addison (i-355 and us 20 (lake st.)","us","disk"
"350",2020-12-02,"london (uk/england)","gb","diamond"
"351",2020-12-02,"watertown","us","light"
"352",2020-12-02,"elverta","us","light"
"353",2020-12-20,"dolgellau (uk/wales)","gb","changing"
"354",2020-12-12,"whittier","us","light"
"355",2020-11-20,"somerset","us","light"
"356",2020-10-12,"fairbanks","us","other"
"357",2020-10-12,"denver","us","light"
"358",2020-11-20,"columbia","us","teardrop"
"359",2020-10-12,"grass valley","us","triangle"
"360",2020-10-12,"lima","us","teardrop"
"361",2020-10-15,"springfield","us","fireball"
"362",2020-10-15,"reno","us","sphere"
"363",2020-11-04,"randolph","us","cylinder"
"364",2020-10-28,"dallas","us","fireball"
"365",2020-10-31,"san diego","us",NA
"366",2020-10-15,"austin","us","circle"
"367",2020-04-16,"new york city (manhattan)","us","egg"
"368",2020-10-15,"truckee","us","sphere"
"369",2020-11-08,"fort knox",NA,"fireball"
"370",2020-11-26,"newaygo","us","circle"
"371",2020-10-15,"nebraska (above?&#44 or above south dakota)",NA,"cigar"
"372",2020-10-31,"placerville","us","light"
"373",2020-10-15,"frederick","us","unknown"
"374",2020-10-15,"bloomington","us","disk"
"375",2020-11-08,"independence","us","chevron"
"376",2020-10-27,"honolulu","us","triangle"
"377",2020-10-27,"los angeles","us","rectangle"
"378",2020-10-27,"dallas","us","light"
"379",2020-10-27,"pitman","us","other"
"380",2020-10-27,"san jose","us","light"
"381",2020-07-16,"nuevo laredo (mexico)",NA,"light"
"382",2020-10-27,"salinas","us","formation"
"383",2020-12-14,"arroyo grande","us","circle"
"384",2020-11-11,"fresno","us","rectangle"
"385",2020-10-27,"strongsvilles",NA,"light"
"386",2020-12-03,"laredo","us","fireball"
"387",2020-10-27,"eastsound","us","sphere"
"388",2020-10-27,"lake worth","us","formation"
"389",2020-10-27,"williamsville","us","light"
"390",2020-10-20,"cannock (uk/england)","gb","formation"
"391",2020-10-20,"holiday","us","light"
"392",2020-10-11,"eagan","us","circle"
"393",2020-10-20,"siloam sprngs",NA,"circle"
"394",2020-10-20,"canyonlands np",NA,"formation"
"395",2020-10-20,"lake point","us","light"
"396",2020-10-20,"pearl harbor",NA,"light"
"397",2020-10-20,"peoria","us","light"
"398",2020-10-20,"buckeye","us","formation"
"399",2020-10-20,"casa grande","us","light"
"400",2020-10-20,"tempe","us","triangle"
"401",2020-10-20,"mobile","us","light"
"402",2020-12-16,"little ferry","us","oval"
"403",2020-10-20,"wall lake","us","light"
"404",2020-12-16,"rotherham (south yorkshire) (uk/england)","gb","oval"
"405",2020-10-30,"nashville","us","disk"
"406",2020-10-30,"calumet city",NA,"circle"
"407",2020-10-30,"york",NA,"disk"
"408",2020-10-30,"littlerock",NA,"oval"
"409",2020-10-30,"lynnwood","us","unknown"
"410",2020-12-07,"monterey park","us","fireball"
"411",2020-12-07,"two harbors","us","light"
"412",2020-10-30,"pensacola","us","diamond"
"413",2020-10-30,"milton","us","light"
"414",2020-10-30,"kidlington (uk/england)","gb","formation"
"415",2020-10-30,"la crescenta","us","circle"
"416",2020-10-30,"enid","us","light"
"417",2020-10-30,"pampa","us","triangle"
"418",2020-02-01,"rome","us","oval"
"419",2020-11-28,"melbourne","us","oval"
"420",2020-11-28,"carlton","us","cylinder"
"421",2020-11-28,"clackamas","us","circle"
"422",2020-11-28,"brassall (australia)",NA,"unknown"
"423",2020-11-28,"seattle","us","triangle"
"424",2020-11-28,"frankfort","us","sphere"
"425",2020-11-28,"tega cay","us","light"
"426",2020-11-28,"gulf shores","us","disk"
"427",2020-03-04,"london (uk/england)","gb","unknown"
"428",2020-03-19,"klagenfurt (austria)",NA,"chevron"
"429",2020-10-31,"monrovia","us","unknown"
"430",2020-10-31,"brownsville","us","disk"
"431",2020-10-31,"concord","us","light"
"432",2020-10-31,"salisbury","us","sphere"
"433",2020-01-10,"bellmere (australia)",NA,"cylinder"
"434",2020-10-31,"bridgeport","us","circle"
"435",2020-10-31,"dover","us","sphere"
"436",2020-10-31,"riverside","us","light"
"437",2020-10-31,"naples","us","triangle"
"438",2020-03-19,"centerville","us","light"
"439",2020-03-19,"villa park/lombard",NA,"changing"
"440",2020-10-31,"albuquerque","us","fireball"
"441",2020-10-31,"los angeles","us","triangle"
